"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","WGT_TYPE","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:CTOT(5.0.1)","JPN.CEPI_CTOTX_TX.H_RW_IX.A","OBS_VALUE","Japan","Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports","Historical, Rolling Weights, Index","Annual","Units","60.8013725281","73.4504470825","80.2122268677","75.6739425659","67.8756942749","94.8474044800","97.2089385986","87.2527694702","88.2678756714"
"IMF.RES:CTOT(5.0.1)","JPN.CEMPI_CTOTNX_TT.H_RW_IX.A","OBS_VALUE","Japan","Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to Total Commodity Trade","Historical, Rolling Weights, Index","Annual","Units","159.8431396484","139.8027954102","121.9943695068","142.7507019043","170.3111724854","103.9835891724","80.1157073975","110.0558776855","118.0542984009"
"IMF.RES:CTOT(5.0.1)","JPN.CMPI_CTOTM_TM.H_RW_IX.A","OBS_VALUE","Japan","Commodity Import Price Index, Individual Commodites Weighted by Ratio of Imports to Total Commodity Imports","Historical, Rolling Weights, Index","Annual","Units","56.8131256104","67.3004684448","78.8713455200","65.7021636963","53.5874137878","96.4596939087","129.3752441406","89.4749069214","82.7950286865"
"IMF.RES:CTOT(5.0.1)","JPN.CEPI_CTOTX_GDP.H_RW_IX.A","OBS_VALUE","Japan","Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to GDP","Historical, Rolling Weights, Index","Annual","Units","99.6594238281","99.7929611206","99.8553771973","99.8142395020","99.7371444702","99.9740295410","99.9915924072","99.9150466919","99.9231643677"
"IMF.RES:CTOT(5.0.1)","JPN.CMPI_CTOTM_GDP.H_RW_IX.A","OBS_VALUE","Japan","Commodity Import Price Index, Individual Commodites Weighted by Ratio of Imports to GDP","Historical, Rolling Weights, Index","Annual","Units","96.2675323486","97.2849273682","98.2570266724","97.1611022949","95.9225158691","99.4637527466","101.2795791626","99.0154800415","98.5464630127"
"IMF.RES:CTOT(5.0.1)","JPN.CEMPI_CTOTXM_GDP.H_RW_IX.A","OBS_VALUE","Japan","Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to GDP","Historical, Rolling Weights, Index","Annual","Units","103.5181350708","102.5586547852","101.5918350220","102.7075271606","103.9756088257","100.4699859619","98.6652450562","100.8671417236","101.3602523804"
"IMF.RES:CTOT(5.0.1)","JPN.CMPI_CTOTM_TM.H_FW_IX.A","OBS_VALUE","Japan","Commodity Import Price Index, Individual Commodites Weighted by Ratio of Imports to Total Commodity Imports","Historical, Fixed Weights, Index","Annual","Units","64.1322631836","74.8639450073","85.8326492310","74.4336166382","61.9989166260","98.0403594971","122.5447235107","93.7312622070","88.1005783081"
"IMF.RES:CTOT(5.0.1)","JPN.CEMPI_CTOTXM_GDP.H_FW_IX.A","OBS_VALUE","Japan","Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to GDP","Historical, Fixed Weights, Index","Annual","Units","101.9933700562","101.3419876099","100.7203674316","101.3355331421","102.1722183228","100.1751785278","99.1717605591","100.3392410278","100.6254959106"
"IMF.RES:CTOT(5.0.1)","JPN.CEPI_CTOTX_GDP.H_FW_IX.A","OBS_VALUE","Japan","Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to GDP","Historical, Fixed Weights, Index","Annual","Units","99.8748703003","99.9324798584","99.9519271851","99.9282836914","99.9031295776","100.0045242310","100.0102996826","99.9783935547","99.9834594727"
"IMF.RES:CTOT(5.0.1)","JPN.CEMPI_CTOTNX_TT.H_FW_IX.A","OBS_VALUE","Japan","Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to Total Commodity Trade","Historical, Fixed Weights, Index","Annual","Units","147.2192993164","129.0828094482","114.1168975830","129.5778198242","152.8164062500","102.0578765869","83.0749740601","105.7820816040","112.1846618652"
"IMF.RES:CTOT(5.0.1)","JPN.CMPI_CTOTM_GDP.H_FW_IX.A","OBS_VALUE","Japan","Commodity Import Price Index, Individual Commodites Weighted by Ratio of Imports to GDP","Historical, Fixed Weights, Index","Annual","Units","97.9228973389","98.6091537476","99.2370529175","98.6112976074","97.7791519165","99.8296356201","100.8455352783","99.6403579712","99.3619308472"
"IMF.RES:CTOT(5.0.1)","JPN.CEPI_CTOTX_TX.H_FW_IX.A","OBS_VALUE","Japan","Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports","Historical, Fixed Weights, Index","Annual","Units","71.4611740112","84.8034286499","88.8003997803","81.8032684326","76.6062088013","103.4702377319","105.3463745117","95.7389450073","97.6423187256"
